실과명,법인종류,허가번호,법인명칭,대표자,법  인  주  소,허가년도,임원,기능 및 목적,소관분야,비 고
체육진흥과,사단법인,서울시2005-620,대한삼보연맹,문성천,"충청남도 천안시 동남구 신부7길 5-1, 2층(신부동, 슈퍼빌딩)",2005-02-16,13,삼보를 국민에게 널리 보급하여 국민 체력 향상과 건전하고 명랑한 기풍을 진작시킴과 아울러 우수한 선수 양성,생활,서울특별시에서 이관
체육진흥과,사단법인,제2005-1,한국화랑무예검도협회,최상열,천안시 동남구 다가동 351-19,2005-07-29,6,화랑무예의 긍지와 자긍심 고취,생활,
체육진흥과,사단법인,제2006-1,왕실경호비금생법십오체,백병찬,부여군 양화면 초왕리 393-1,2006-06-27,5,무술과 의술을 종합하는 비법전수,생활,
체육진흥과,사단법인,제2006-2,한국골프전문인협회,이경진,천안시 서북구 백성동 302-2,2006-10-30,7,골프관련 연구 및 이론적 체계정립,생활,
체육진흥과,재단법인,제2007-1,천안시축구단,박상돈,천안 서북 축구 센터로 150(성정동)축구센터 ,2007-04-16,10,천안시축구단운영을 통한 초중고 꿈나무 선수육성 및 지역사회 축구발전 기여,전문,
체육진흥과,사단법인,경기도200901-02,한국체육교육지도자협회,김범준,"충남 천안시 동남구 터미널2로 16, 백석빌딩 502호(신부동)",2009-01-15,7,체육프로그램 개발 및 보급 ,생활,경기도에서 이관
체육진흥과,사단법인,경기도제2020-01-26,대한태기도협회,최종균,"충청남도 천안시 불당동 387번지, 1층",2009-04-17,5,합기도를 국민에게 널리 보급하여 국민의 체력향상 도모,생활,경기도에서 이관
체육진흥과,사단법인,제2009-1,본국무예협회,최재근,당진시 송산면 상거리 425,2009-05-20,7,무예연구 및 전통무예보급확산,생활,
체육진흥과,사단법인,제2010-1,국선명상협회,유도혁,공주시 이인면 남원길53,2010-10-06,7,"명상, 심신수련법 보급확산",생활,
체육진흥과,사단법인,경기도2006-17,생활요가협회,강웅순,청양군 목면 신흥리 607,2011-04-20,6,"생활요가프로그램, 전문요가 지도자양성",생활,경기도에서 이관
체육진흥과,사단법인,대전광역시230,한국고류검도연맹,정태용,계룡시 금암동 177-6,2011-05-04,14,한국고류검술을 과학적으로 체계화하여 연구개발보급,생활,대전광역시에서 이관
체육진흥과,사단법인,제2012-1,충남아산유나이티드에프씨(FC),최낙원,"아산시 둔포면 아산밸리남로81, 803호 101동(테크노밸리 이지더원 8단지)",2012-01-27,7,"소외계층 유청소년 등 대상 우수선수 조기발굴, 축구 아카데미운영, 장학사업 등",전문,
체육진흥과,사단법인,제2012-2,대한무술총연합회,심상가,천안시 동남구 신촌1길 26-7 신원빌딩 4층,2012-02-14,5,"국내의 모든 무술단체와 정보교류, 무술대중화 보급 등 ",생활,
체육진흥과,사단법인,제2012-3,한국유소년스포츠지도자협회,오명숙,"천안시 서북구 한들 3로 78-3(백석동, 명산프라자)B동 201호",2012-11-02,4,유소년 스포츠의 프로그램개발과 지도법 연구 및 발표,생활,
체육진흥과,사단법인,제2013-1,천무극협회,남민우,아산시 송악면 외암로 1182번길34-16,2013-05-27,11,전통무예 천무극 보급,생활,
체육진흥과,사단법인,서울시제2014-105,대한넷볼협회,이문표,"충남 부여군 부여읍 금성로 6, 2층",2014-06-11,15,여학생과 여성의 건강을 유지할 수 있도록 학교스포츠클럽 활동을 지원하고 여성스포츠의 저변을 확대하는데 목적을 둠,생활,서울특별시에서 이관
체육진흥과,사단법인,제2014-1,한국레크레크리에이션연구협회,임동규,천안시 서북구 번영로 208,2014-07-03,8,"레그레이션지도자 양성, 연구개발보급",생활,
체육진흥과,사단법인,경기도제2015-17,한국권투연맹,이인경,예산군 예산읍 산성공원1길 24,2015-01-21,16,다세대 다계층회원에게 지역주민 누구나 손쉽게 운동할 수 있는 생활체육여건 제공,통합,경기도에서 이관
체육진흥과,사단법인,장애인체육2015-1,대한장애인패러글라이딩협회,박진원,천안시 서북구 서부1길 7,2015-03-10,10,장애인패러글라이딩 대회 개최 및 지도자 교육 등,장애인,
