명칭,주소,주요시설,문의처
천안종합운동장,"천안시 서북구 번영로 208(백석동, 종합운동장)",주경기장+보조경기장+국민체육센터+유관순체육관+실내테니스장+실외테니스장+인라인스케이트장,041-529-5000
한들문화센터,"천안시 서북구 음봉로 861-50(백석동, 한들문화센터)",수영장+목욕탕+헬스장+필라테스실+이벤트홀,041-529-5177
천안축구센터,천안시 서북구 축구센터로 150,천연잔디구장+인조잔디구장+풋살구장+세미나실+운전면허학과시험장,041-529-5170
천안시실내배드민턴장,천안시 동남구 천안대로 357(청당동 실내배드민턴장),관중석+코트+샤워실+선수대기실,041-529-5115
천안생활체육야구장,천안시 동남구 천안대로 320,야구장+관리사무실+더그아웃+본부석,041-529-5119
태학산 자연휴양림,천안시 동남구 풍세면 휴양림길 105-2,관리사무소+산책로/등산로+오토캠핑장+숲속의집+치유의 숲+가족바비큐장+산림문화휴양관,041-529-5108
천안추모공원,천안시 동남구 광덕면 밤나무골길 38(원덕리 542),화장시설+봉안시설+카페+식당,"041-529-5140, 5141"
천안역 지하도상가,"천안시 동남구 버들로 지하 2(대흥동, 지하상가)",점포(280개),041-529-5154
공영주차장,천안시 서북구 검은들 1길 15,노외32개소+노상10개소+유료10개소,041-529-5120
재활용선별장,천안시 서북구 백석공단1로 97-29(백석동),재활용선별동+유리병선별동+정비동+다목적압축동+관리동,041-529-5060
천안국민여가캠핑장,천안시 동남구 목천읍 교촌 7길 46-13,오토캠핑장+일반캠핑장+샤워실,041-529-5113
도솔공원,천안시 동남구 천안대로 844(신부동),잔디광장+야외공연장+시민의숲,041-529-5028
천안북부스포츠센터,천안시 서북구 성환읍 성환1로 45,수영장+헬스장+다목적실+다목적체육관+축구장,041-529-5040
태조산공원,천안시 동남구 태조산길 261(유량동 6),천안인의 상+산책로/등산로+무장애길,041-529-5117
태조산산림레포츠단지,천안시 동남구 태조산길 261(유량동 6),"산림레포츠시설[공중네트, 짚코스터, 숲모험(청소년, 유아)]",041-529-3681
시민체육공원,천안시 서북구 불당동 192-3번지,풋살장 + 족구장 + 배드민턴장 + 잔디광장 + 자전거 보관대,041-529-5000
유관순파크골프장,천안시 서북구 음봉로 861-53,"파크골프장(36홀), 스타트하우스, 휴게실",041-559-3645
풍서천파크골프장,천안시 동남구 풍세면 풍서리 676-107,파크골프장(18홀),041-559-3645
